,data,labels,generalisation,group
45,Who was the prophet of the Muslim people ?,3,ID,test
46,Where did the term `` 86ed '' come from ?,2,ID,train
47,Who is Snoopy 's arch-enemy ?,3,ID,train
48,What is the nature of learning ?,2,ID,train
49,What 's the only color Johnny Cash wears on stage ?,1,ID,train
50,What 's the term for a young fox ?,1,ID,train
51,What is the Kashmir issue ?,2,ID,test
52,What does `` extended definition '' mean and how would one write a paper on it ?,2,ID,train
53,What is titanium ?,2,ID,train
54,Who do Herb and Tootsie live next door to ?,3,ID,train
55,What is a caldera ?,2,ID,test
56,Why do people get calluses ?,2,ID,train
57,What are Cushman and Wakefield known for ?,2,ID,train
58,Who is the founder of Scientology ?,3,ID,train
59,What does the six-footed Musca domestica become when it enters a house ?,1,ID,validation
60,What is the history of skateboarding ?,2,ID,test
61,Who starred in Singing in the Rain and The Singing Nun ?,3,ID,train
62,How do I make fuel bricks from recycled newspaper ?,2,ID,train
63,What 19th-century painter died in the Marquesas Islands ?,3,ID,train
64,The corpus callosum is in what part of the body ?,1,ID,train
65,How do I log on to home page at Headquarters U.S. European Command ?,2,ID,train
66,What is Nebraska 's most valuable resource ?,1,ID,train
67,How many species of the Great White shark are there ?,5,ID,train
68,What is the origin of head lice ?,2,ID,train
69,What was the first domesticated bird ?,1,ID,test
70,How many villi are found in the small intestine ?,5,ID,train
71,What is a fear of shadows ?,1,ID,train
72,Who were the five Marx brothers ?,3,ID,test
73,In which year was New Zealand excluded from the ANZUS alliance ?,5,ID,train
74,When did CNN begin broadcasting ?,5,ID,validation
75,What causes the body to shiver in cold temperatures ?,2,ID,train
76,What are bear and bull markets ?,2,ID,validation
77,What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,1,ID,train
78,What is `` dew point '' ?,2,ID,validation
79,What is the meaning of Jesus ?,2,ID,validation
80,What company 's logo is a `` W '' in a circle ?,3,ID,validation
81,What is the definition of a cascade ?,2,ID,test
82,When did Rococo painting and architecture flourish ?,5,ID,train
83,Who invented Make-up ?,3,ID,test
84,What is the origin of the word `` attic '' ?,2,ID,train
85,What did Delilah do to Samson 's hair ?,2,ID,train
86,What kind of animals were in the Paleozoic era ?,1,ID,train
87,Which of the following was Rhodes Scholar ?,3,ID,train
88,Who comprised the now-defunct comic book team known as the Champions ?,3,ID,test
89,How do you make a paintball ?,2,ID,validation
90,What is a female rabbit called ?,1,ID,train
91,Where do chihuahuas come from ?,2,ID,train
92,What 's the only work by Michelangelo that bears his signature ?,1,ID,train
93,What is the largest snake in the world ?,1,ID,train
94,In what medium is Stuart Hamblen considered to be the first singing cowboy ?,1,ID,train
95,How much money does a back injury lawsuit get ?,5,ID,test
96,What 's the common name for acetylsalicylic acid ?,1,ID,train
97,What does the Georgetown `` Hoya '' mean ?,2,ID,train
98,Which two products use a tiger as their symbol ?,1,ID,train
99,How is the election of a new Pope announced to the world ?,2,ID,train
100,How long does it take for your blood to make one complete trip through the body ?,5,ID,train
101,How do chickens have baby chicks ?,2,ID,train
102,What is the historical relationship of Catholic Church and bingo ?,2,ID,train
103,How was the element calcium named ?,2,ID,validation
104,What crooner joined The Andrews Sisters for Pistol Packin Mama ?,3,ID,train
105,What piano company claims its product is the `` Instrument of the immortals '' ?,3,ID,train
106,When did the Bounty mutiny take place ?,5,ID,train
107,What novel inspired the movie BladeRunner ?,1,ID,validation
108,What is a transistor ?,2,ID,train
109,What is a film starring Jude Law ?,1,ID,train
110,What Hollywood dog died in the arms of Jean Harlow in 1932 ?,1,ID,train
111,What are the most common elements in the Earth 's crust ?,1,ID,train
112,"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",5,ID,test
113,What actress has received the most Oscar nominations ?,3,ID,train
114,What are equity securities ?,2,ID,validation
115,What is gymnophobia ?,2,ID,train
116,How many years do fossils take to form ?,5,ID,test
117,What was the name of the `` Little Rascals '' dog ?,1,ID,train
118,What Broadway musical was inspired by Cervantes 's Don Quixote ?,1,ID,validation
119,"What is the origin of the word , JJ .",2,ID,test
120,How many hostages were killed in the Entebbe raid ?,5,ID,train
121,How you can raise your IQ ?,2,ID,test
122,Who produces Spumante ?,3,ID,train
123,Who earns their money the hard way ?,3,ID,train
124,Who founded the People 's Temple Commune ?,3,ID,train
125,What athlete makes the most money from sports merchandise sales ?,3,ID,train
126,How many bends are there in a standard paper clip ?,5,ID,train
127,Who discovered electricity ?,3,ID,test
128,What part of your body contains the corpus callosum ?,1,ID,train
129,Who was the first American in space ?,3,ID,test
130,What album put The Beatles on the cover of Time in 1967 ?,1,ID,train
131,"What poem contains the line , `` grow old with me the best is yet to be '' .",1,ID,validation
132,What is a dental root canal ?,2,ID,test
133,What war did the Wanna-Go-Home Riots occur after ?,1,ID,train
134,What is the busiest air travel season ?,5,ID,train
135,What 's the colored part of the eye called ?,1,ID,validation
136,What are hook worms ?,2,ID,train
137,Which Japanese car maker had its biggest percentage of sale in the domestic market ?,3,ID,train
138,Who is the mayor of Marbella ?,3,ID,train
139,In what year did Thatcher become prime minister ?,5,ID,train
140,How many months does it take the moon to revolve around the Earth ?,5,ID,train
141,In what year was De Gaulle elected president of France ?,5,ID,train
142,Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,3,ID,train
143,Who directed `` Jaws '' ?,3,ID,train
144,On what T.V. show could Tom Terrific be found ?,1,ID,train
145,What Indian tribe is F Troop perpetually doing battle with ?,3,ID,train
146,Where did Indian Pudding come from ?,2,ID,train
147,Why do some clothing labels say `` Use a nonchlorine bleach '' ?,2,ID,train
148,How many colonies were involved in the American Revolution ?,5,ID,train
149,"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?",1,ID,validation
150,What is the name of the managing director of Apricot Computer ?,3,ID,train
151,What is the occupation of Nicholas Cage ?,3,ID,train
152,Why do horseshoes bring luck ?,2,ID,train
153,"What is the 401 , K , plan ?",2,ID,train
154,What causes pneumonia ?,2,ID,train
155,What are the three winter months in the southern hemisphere ?,5,ID,train
156,What does gringo mean ?,2,ID,train
157,What therapy attempts to elicit the `` primal scream '' ?,1,ID,test
158,Which Ventura County police department seized the largest cocaine shipment in it 's history ?,3,ID,train
159,What dangles over the tongue from the palate ?,1,ID,train
160,Who created Dennis the Menace ?,3,ID,test
161,What dummy received an honorary degree from Northwestern University ?,3,ID,test
162,When was the first Wall Street Journal published ?,5,ID,validation
163,How do I start a web based business ?,2,ID,train
164,Name Alvin 's brothers,3,ID,train
165,What is Eagle 's syndrome styloid process ?,2,ID,test
166,How did Jayne Mansfield die ?,2,ID,validation
167,When did the royal wedding of Prince Andrew and Fergie take place ?,5,ID,validation
168,What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?,3,ID,train
169,What explorer was nicknamed Iberia 's Pilot ?,3,ID,train
170,CNN began broadcasting in what year ?,5,ID,validation
171,What is a ball that hits the foul pole called ?,1,ID,train
172,What makes hamburgers taste like steakburgers ?,2,ID,test
173,Which company created the Internet browser Mosaic ?,3,ID,train
174,What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,1,ID,test
175,What was the education system in the 1960 's ?,1,ID,train
176,How can I find out which cities have cable-modem access ?,2,ID,validation
177,What is Betsy Ross famous for ?,2,ID,train
178,How many species of sharks are there ?,5,ID,train
179,What is `` snoogans '' ?,2,ID,train
180,How many people are there in the world ?,5,ID,train
181,What shrubs can be planted that will be safe from deer ?,1,ID,train
182,What organization 's offices were broken into at Watergate in 1972 ?,3,ID,train
183,What is the design of the ship Titanic ?,2,ID,train
184,Name a technique widely used to detect birth defects ?,1,ID,validation
185,What is the daily requirement of folic acid for an expectant mother ?,2,ID,train
186,What is the `` 7-minute cigarette '' ?,2,ID,train
187,What four forms does gold occur in ?,1,ID,train
188,What is the acreage of the Chappellet vineyard ?,5,ID,train
189,How do you correctly say the word ` qigong ' ?,2,ID,test
190,When did beethoven die ?,5,ID,train
191,How much does a new railroad coal car cost ?,5,ID,test
192,What is the filmmakers collabrative ?,2,ID,train
193,What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,3,ID,test
194,What caused Harry Houdini 's death ?,2,ID,train
195,"Who was the mother of the man who would not be king , the duke of Windsor ?",3,ID,train
196,How many revolutions does a standard LP make in three minutes ?,5,ID,train
197,What 's the slowest Olympic swimming stroke ?,1,ID,train
198,What was the name of the first Russian astronaut to do a spacewalk ?,3,ID,train
199,What disease is transmitted by the Anopheles mosquito ?,1,ID,train
200,What rum is so `` mixable '' it is a one-brand bar ?,1,ID,train
201,How many South American countries have the letter Z in their names ?,5,ID,train
202,What is the contents of proposition 98 ?,2,ID,train
203,"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .",5,ID,test
204,Who wrote NN DT NNP NNP '' ?,3,ID,train
205,What is paracetamol ?,2,ID,train
206,What are the powers and weaknesses of Green Lantern 's ring ?,2,ID,train
207,"Which mosquito 's bite draws blood , DT NN CC DT NN .",1,ID,train
208,When was the first steel mill in the United States built ?,5,ID,train
209,What diminutive American female gymnast stole the show at the 1984 Olympics ?,3,ID,train
210,What is the origin of the name Katie ?,2,ID,train
211,"What schools in the Washington , DC NN NN VBP NN NN NN NN .",3,ID,train
212,When did the Berlin Wall go up ?,5,ID,train
213,Who is Terrence Malick ?,3,ID,train
214,What instrument is Ray Charles best known for playing ?,1,ID,test
215,"What 's the meaning of the Latin battle cry : Ad arma , ad arma .",2,ID,train
216,What is the mascot for Notre Dame University ?,1,ID,test
217,When did Mount St. Helen last have a significant eruption ?,5,ID,test
218,When did World War I start ?,5,ID,validation
219,How many feet are there in a fathom ?,5,ID,validation
220,What is a Canada two-penny black ?,2,ID,train
221,How can I find out what year a Beanie Baby was introduced ?,2,ID,train
222,What is the classic definition of tragic hero ?,2,ID,train
223,To what does Microsoft 's Windows 3 owe its success ?,1,ID,train
224,Who was President of Afghanistan in 1994 ?,3,ID,train
225,"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?",1,ID,train
226,What did brontosauruses eat ?,1,ID,test
227,What color bottles do good Rhine wines come in ?,1,ID,train
228,Who was the lead actress in the movie ` Sleepless in Seattle ' ?,3,ID,train
229,Who was the 16th President of the United States ?,3,ID,test
230,Who are the two sons of Ozzie and Harriet Nelson ?,3,ID,train
231,What is molybdenum ?,2,ID,validation
232,When is Boxing Day ?,5,ID,train
233,What is the lowest level of the American judiciary ?,1,ID,train
234,When was the battle of the Somme fought ?,5,ID,train
235,How many people did Randy Craft kill ?,5,ID,train
236,What 's the official animal of Canada ?,1,ID,train
237,When did Spielberg direct `` Jaws '' ?,5,ID,train
238,What is the size of the largest akita ?,5,ID,test
239,What animal has the biggest eyes ?,1,ID,train
240,Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?,3,ID,test
241,Who was the founding member of the Pink Floyd band ?,3,ID,validation
242,How do I find the balance of my social security account ?,2,ID,train
243,What is the history of Valentine 's Day cards ?,2,ID,train
244,What do Italians call Florence ?,1,ID,train
245,How do you get to the top of the Eiffel Tower ?,2,ID,test
246,What 's the term for a bet before cards are dealt ?,1,ID,train
247,"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?",1,ID,validation
248,What is Latin for incompetent ?,1,ID,validation
249,What chemicals are used in lethal injection ?,1,ID,train
250,What toy company is the world 's No.1 maker of female apparel ?,3,ID,train
251,What board game does a `` wood-pusher '' play poorly ?,1,ID,train
252,Which Doonesbury character was likely to turn into a werewolf ?,3,ID,train
253,What are the 7 articles of the constitution ?,1,ID,train
254,Who has won the most Super Bowls ?,3,ID,train
255,What is the fastest commercial automobile that can be bought in the US ?,1,ID,test
256,Who has the only speaking role in `` Silent Movie '' ?,3,ID,train
257,Why is poop sometimes different colors ?,2,ID,train
258,What was Einstein 's IQ ?,5,ID,test
259,What day was Pearl Harbor attacked in 1942 ?,5,ID,train
260,What girl 's name is `` Teddy '' an affectionate form of ?,3,ID,validation
261,What is the best way to remove wallpaper ?,1,ID,train
262,What company tabulates the ballots in voting for the Academy Awards ?,3,ID,train
263,How did the tradition of best man start ?,2,ID,train
264,How many years ago did the ship Titanic sink ?,5,ID,train
265,What are Halloween 's colors ?,1,ID,train
266,How is silk screening done ?,2,ID,train
267,"What is the latitude and longitude of El Paso , Texas ?",5,ID,train
268,Who made a boat out of gopher wood ?,3,ID,train
269,Which Bloom County resident wreaks havoc with a computer ?,3,ID,train
270,How do you match a name to a social security number ?,2,ID,train
271,How does a rainbow form ?,2,ID,train
272,What is the normal resting heart rate of a healthy adult ?,5,ID,test
273,What is the population of Ohio ?,5,ID,train
274,How many calories are there in a Big Mac ?,5,ID,test
275,Hazmat stands for what ?,2,ID,train
276,What creature scares people in the film `` Jaws '' ?,1,ID,train
277,What part did John Peter Zenger play in the deveopment of the newspaper in America ?,3,ID,train
278,Who followed Caesar ?,3,ID,train
279,What are the four elements ?,1,ID,train
280,Who was the first woman golfer to earn a million ?,3,ID,train
281,What 's the tallest piece on a chessboard ?,1,ID,train
282,Who does the advertizing for Frito-Lay ?,3,ID,train
283,Who is the leading competitor of Trans Union Company ?,3,ID,train
284,What product did Robert Conrad dare people to knock off his shoulder ?,1,ID,validation
285,Who invented the radio ?,3,ID,train
286,What 's the American dollar equivalent for 8 pounds in the U.K. ?,5,ID,train
287,What are the different approaches of systems analysis ?,1,ID,validation
288,How do doctors diagnose bone cancer ?,2,ID,test
289,Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?,3,ID,train
290,What is the speed of the Mississippi River ?,5,ID,train
291,What are the developmental stages of a swimmer ?,1,ID,train
292,What actor first portrayed James Bond ?,3,ID,train
293,"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?",3,ID,train
294,What year did Jack Nicklaus join the Professional Golfers Association tour ?,5,ID,train
295,How many sonnets did Shakespeare write ?,5,ID,train
296,What causes the redness in your cheeks when you blush ?,2,ID,train
297,Who won the Nobel Peace Prize in 1991 ?,3,ID,train
298,Who are the Challengers of the Unknown ?,3,ID,train
299,Define the Pheonix Club ?,2,ID,train
300,What does it mean `` Rupee Depreciates '' ?,2,ID,train
301,What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?,1,ID,validation
302,Who was the first coach of the Cleveland Browns ?,3,ID,train
303,How successful is arometherapy ?,2,ID,test
304,What Jewish holiday saw the start of the 1973 Mideast War ?,1,ID,validation
305,How does a copier work ?,2,ID,train
306,What is the speed of the Mississippi River ?,5,ID,test
307,Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?,3,ID,train
308,What is Dudley Do-Right 's horse 's name ?,1,ID,train
309,Who declared : `` I am down on whores and I shan 't stop ripping them '' ?,3,ID,train
310,What TV game show once saw a contestant admit to picking his toes in the shower ?,1,ID,test
311,What Soviet leader owned a Rolls-Royce ?,3,ID,train
312,What war did Florence Nightingale tend the troops in ?,1,ID,validation
313,"Who wrote the song , `` Stardust '' ?",3,ID,train
314,How many Beatles ' records went #1 ?,5,ID,train
315,Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,3,ID,train
316,Who received the Will Rogers Award in 1989 ?,3,ID,train
317,What is the function of RAM ?,2,ID,test
318,How many equal angles are there in an isosceles triangle ?,5,ID,test
319,What is the fear of cockroaches called ?,1,ID,train
320,What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?,1,ID,train
321,What is the use of a 24-hour clock instead of a 12-hour clock ?,2,ID,validation
322,What was the name of the lawyer who represented Randy Craft ?,3,ID,validation
323,What United States President had dreamed that he was assassinated ?,3,ID,validation
324,What film did Lee Marvin win the 1965 best actor Oscar for ?,1,ID,test
325,What product does `` Mrs. Olsen '' promote ?,1,ID,train
326,What time of day did Emperor Hirohito die ?,5,ID,test
327,What is dry ice ?,2,ID,train
328,What 's the most powerful card in Euchre ?,1,ID,test
329,What does `` intractable plantar keratoma '' mean ?,2,ID,test
330,How many years did it take James Joyce to write Ulysses ?,5,ID,train
331,What crop failure caused the Irish Famine ?,1,ID,train
332,How many types of dogs ' tails are there - three,5,ID,test
333,What is the longest-running television series ?,1,ID,validation
334,What predators exist on Antarctica ?,1,ID,train
335,What is the difference between a generator and an alternator ?,2,ID,train
336,How is energy created ?,2,ID,train
337,What beer advertised that it had `` three rings '' ?,1,ID,train
338,What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,5,ID,validation
339,What golfing accessory was patented by George Grant on December 12,1,ID,train
340,What are the different types of plastic ?,1,ID,validation
341,How is it correct to say ` qigong ' ?,2,ID,test
342,When was the women 's suffrage amendment ratified ?,5,ID,test
343,What Polynesian people inhabit New Zealand ?,3,ID,test
344,What movie tour of the Roman empire features the admonition : `` Row well and live '' ?,1,ID,train
345,"What President lived at 219 North Delaware Street , Independence , Missouri ?",3,ID,train
346,Give a reason for American Indians oftentimes dropping out of school .,2,ID,train
347,What is the difference between classical conditioning and operant conditioning ?,2,ID,train
348,What are some interesting facts and information about dogsledding ?,2,ID,train
349,What year did Hitler die ?,5,ID,train
350,What famous model was married to Billy Joel ?,3,ID,train
351,What kind of animal is Babar ?,1,ID,validation
352,What is Jane Goodall known for ?,2,ID,train
353,What killed Bob Marley ?,1,ID,test
354,How much money are Dumbo 's ears insured for ?,5,ID,test
355,Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?,3,ID,train
356,Who is Stein Eriksen ?,3,ID,validation
357,What does the name Billie mean ?,2,ID,test
358,Who is the fastest swimmer in the world ?,3,ID,train
359,What do bicornate animals have two of ?,1,ID,train
360,What function does a community 's water tower serve ?,2,ID,validation
361,What is a fear of weakness ?,1,ID,train
362,How many miles is it to Ohio from North Carolina ?,5,ID,train
363,How much snow equals an inch of rain ?,5,ID,train
364,What does Inuit and Eskimo mean ?,2,ID,train
365,What song served as the closing theme of The Johnny Cash Show ?,1,ID,train
366,What field sport did dentist William Beers promote and write a standard book of rules for ?,1,ID,train
367,How do I tie dye clothes ?,2,ID,train
368,When does the average teenager first have intercourse ?,5,ID,test
369,Why doesn 't www.answers.com have any answers to my questions ?,2,ID,train
370,What actor 's autobiography is titled All My Yesterdays ?,3,ID,test
371,What Russian master spy lived in the U.S. under the name Emil Goldfus ?,3,ID,train
372,What 's nature 's purpose for tornadoes ?,2,ID,test
373,Who played the original Charlie 's Angels ?,3,ID,validation
374,"What English word comes from the Old French covrefeu , meaning cover fire ?",1,ID,test
375,What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,1,ID,train
376,What makes popcorn pop ?,2,ID,train
377,Who wrote The Night of the Iguana ?,3,ID,train
378,Where does your hair grow the fastest ?,1,ID,train
379,Who painted Mother and Child ?,3,ID,test
380,What is the speed of the Mississippi River ?,5,ID,test
381,What film marked Robert Redford 's directorial debut ?,1,ID,validation
382,What was Mao 's second name ?,3,ID,train
383,What film or films has Jude Law appeared in ?,1,ID,train
384,Who is the `` Queen Mother '' ?,3,ID,test
385,What 's the most commonly-spoken language in Belgium ?,1,ID,train
386,Who has more DNA - a man or a woman ?,3,ID,test
387,What are Maid-Rites ?,2,ID,test
388,"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?",1,ID,train
389,What level of government or governmental agency is responsible for dealing with racism ?,3,ID,validation
390,How many referees work a soccer game ?,5,ID,validation
391,What cocktail do you concoct with whisky and sweet vermouth ?,1,ID,train
392,How do you say `` fresh '' in Spanish ?,1,ID,train
393,What do bee hives do in cranberry bogs ?,2,ID,validation
394,What caused the Lynmouth floods ?,2,ID,train
395,When is the Tulip Festival in Michigan ?,5,ID,train
396,"Who came up with the name , El Nino ?",3,ID,train
397,What movie did Madilyn Kahn star in with Gene Wilder ?,1,ID,train
398,What type of bridge is the Golden Gate Bridge ?,1,ID,train
399,What dictator has the nickname `` El Maximo '' ?,3,ID,test
400,What stereo manufacturer is `` Slightly ahead of its time '' ?,3,ID,validation
401,What TV sitcom character had the maiden name Ethel Potter ?,3,ID,train
402,What was the first Lifesaver flavor ?,1,ID,validation
403,Who kept the most famous diary in the English language ?,3,ID,train
404,How many degrees cooler is the inside of a cucumber than the air outside ?,5,ID,train
405,What Spanish artist painted Crucifixion ?,3,ID,train
406,What is the Jewish bible called ?,1,ID,validation
407,Why is the grass green ?,2,ID,train
408,What is a firewall ?,2,ID,train
409,What spy novelist served as Moscow correspondent for Reuter and The Times of London ?,3,ID,test
410,Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?,3,ID,validation
411,How long does it take for Spider-Man 's web to evaporate ?,5,ID,train
412,Who was Randy Steven Craft 's lawyer ?,3,ID,test
413,Who was the first host of Person to Person ?,3,ID,train
414,Name the Ranger who was always after Yogi Bear .,3,ID,train
415,"What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?",1,ID,test
416,What does the Statue of Liberty wear on her feet ?,1,ID,train
417,Who is the superstar in rent-a-cars ?,3,ID,train
418,"What household facility contains a float ball , ballcock , and overflow tube ?",1,ID,train
419,What was the name of Betty Boop 's dog ?,1,ID,validation
420,What fraction of a beaver 's life is spent swimming ?,5,ID,train
421,What was the Bridge of San Luis Rey made of ?,1,ID,train
422,What do economists do ?,2,ID,train
423,"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?",2,ID,train
424,How many years is Johnnie Walker Black Label aged ?,5,ID,train
425,What is Grenada 's main commodity export ?,1,ID,train
426,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?",5,ID,test
427,What makes a clitoris sensitive ?,2,ID,train
428,What `` magic '' does Mandrake employ ?,1,ID,test
429,Who is the president of Stanford University ?,3,ID,train
430,Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?,3,ID,train
431,"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?",1,ID,train
432,What is a nanometer ?,2,ID,test
433,How many innings are there in a regulation softball game ?,5,ID,train
434,When did CNN go on the air ?,5,ID,train
435,What is the telephone number for the University of Kentucky ?,5,ID,train
436,Who invented baseball ?,3,ID,test
437,How many wives did Brigham Young have ?,5,ID,train
438,What product on the market is good for hiding facial scars ?,1,ID,test
439,How long is the Coney Island boardwalk ?,5,ID,train
440,What does `` Janelle '' mean ?,2,ID,train
441,How do I get another city 's newspaper ?,2,ID,train
442,Name a movie about the Sioux Indians starring Kevin Costner .,1,ID,test
443,"Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?",3,ID,train
444,What are the distinct physical characterstics of the Arabian horse ?,2,ID,train
445,What is a fear of thunder ?,1,ID,train
446,What animal has killed the most people ?,1,ID,train
447,How many colleges are in Wyoming ?,5,ID,test
448,When was the Battle of Hastings ?,5,ID,test
449,What kind of file has the extension .dbf ?,1,ID,test
450,When did Muhammad live ?,5,ID,validation
451,"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?",1,ID,train
452,What is a wop ?,2,ID,train
453,Where do rocks come from ?,2,ID,train
454,How do I stop background noise in a car stereo ?,2,ID,test
455,What is the best college in the country ?,3,ID,train
456,What is viscosity ?,2,ID,train
457,What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?,1,ID,train
458,Name a film in which Jude Law acted .,1,ID,test
459,What is the temperature for baking Peachy Oat Muffins ?,5,ID,train
460,What is a fear of bees ?,1,ID,train
461,What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?,1,ID,train
462,What is a green bog ?,2,ID,train
463,What does a chairbound basophobic fear ?,1,ID,test
464,What wrestling star became `` The Incredible Hulk '' ?,3,ID,train
465,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?,1,ID,train
466,What fastener did Whitcomb Judson patent in 1893 ?,1,ID,train
467,What 's an auberge in France ?,2,ID,test
468,Who was the star of the 1965 Broadway hit Golden Boy ?,3,ID,train
469,What army was founded by William Booth and his wife Catherine ?,3,ID,test
470,What does ribavirin consist of ?,1,ID,train
471,Name the soft drink that is `` number one in the sun . '',1,ID,train
472,What was her real name ?,3,ID,train
473,Why are the ears your center of balance ?,2,ID,train
474,Who invented the toothbrush ?,3,ID,train
475,What was the name of that popular song the Creeps sang ?,1,ID,train
476,What is a fear of being alone ?,1,ID,train
477,How many dots make up the symbol for `` because '' ?,5,ID,train
478,What do you get by adding Lactobacillus bulgaricus to milk ?,1,ID,train
479,How many hearts does an octopus have ?,5,ID,train
480,What plant has the largest seed ?,1,ID,validation
481,What 's approaching when a cyclist shouts : `` Oil '' ?,1,ID,train
482,"What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?",3,ID,train
483,What kind of sport is often associated with hooligans ?,1,ID,train
484,What video game hero do some of his fans call Chomper ?,3,ID,test
485,How many holes are there in a tenpin bowling ball ?,5,ID,train
486,What is the longest word in the English language ?,1,ID,train
487,"What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?",3,ID,train
488,What is `` the bear of beers '' ?,1,ID,train
489,Name the operating system that runs on IBM-compatible machines .,1,ID,train
490,What does the name `` Justin '' mean ?,2,ID,train
491,What percentage of the body is muscle ?,5,ID,train
492,What color of dry wine should be served with veal roasts and chops ?,1,ID,train
493,What is a golf ball made of ?,1,ID,validation
494,What is the Amish religion ?,2,ID,test
495,What does an average daycare provider get paid in New England ?,5,ID,train
496,What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?,3,ID,test
497,Who played the Ringo Kid in the 1939 film Stagecoach ?,3,ID,train
